	alamat	judul	
187	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=3	Satgas: Hampir Semua Provinsi di Sumatera Mengalami Peningkatan Kasus Covid-19	
188	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=3	Mahfud Sebut 95 Nyawa Warga Melayang akibat Ulah KKB Tiga Tahun Terakhir	
189	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=3	Kemenkes: Pasien Rawat Inap Covid-19 di Rumah Sakit Meningkat 1,28 Persen	
190	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=3	Rizieq Mengaku Undang Masyarakat Hadiri Maulid dan Pernikahan Putrinya di Petamburan	
191	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=3	Wapres: Kewajiban Pemerintah Cukupi Kebutuhan Pangan Berat	
192	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=3	Kemenkes: Kasus Kematian Covid-19 Naik 20 Persen pada April	
193	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=3	Rizieq Mengaku Marahi Panitia karena Ada Pelanggaran Protokol Kesehatan Saat Acara Maulid di Petamburan	
194	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=3	Polemik THR PNS yang Dipotong...	
195	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=3	Kemenkes: Varian B.1.1.7, B.1.617, dan B.1.351 Sudah Masuk Indonesia	
196	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=4	Doni Monardo: Tak Boleh Ada Pejabat yang Berbeda Narasinya soal Larangan Mudik Lebaran	
197	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=4	Megawati Jadi Ketua Dewan Pengarah BRIN, Sekjen PDI-P: Beliau Penggagas Awal	
198	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=4	Dewas KPK Diminta Sita Alat Komunikasi Wakil Ketua KPK Lili Pintauli Siregar 	
199	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=4	Mahfud MD Klaim 92 Persen Rakyat Papua Tak Ada Masalah dengan RI	
200	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=4	Kemenkes: Ada Tren Kenaikan Kasus Covid-19 pada April 2021, Ini Alarm untuk Kita	
201	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=4	PMI: Donasi Darah Dapat Dilakukan 14 Hari Pasca-vaksinasi Covid-19 Dosis Kedua	
202	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=4	Soal PIAMARI, Menteri KP: Perlu Ada Penataan dan Peningkatan Kualitas	
203	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=4	Wapres Sebut Indeks Ketahanan Pangan Indonesia Turun	
204	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=4	ICW: Lili Pintauli Siregar Harus Dipanggil sebagai Saksi	
205	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=4	Kemenkes: Varian Covid-19 B.1.351 dari Afrika Selatan Masuk Indonesia, Ada di Bali	
206	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=4	Mahfud MD: 417 Orang Indonesia Masuk Daftar Teroris	
207	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=4	Rizieq Akui Tak Lewat Pemeriksaan Imigrasi Saat Tiba di Bandara Soekarno-Hatta	
208	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=4	Komnas HAM: Label Teroris terhadap KKB di Papua Tidak Selesaikan Masalah	
209	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=4	Kasus Covid-19 Naik di 5 Provinsi, Salah Satunya karena Kepulangan Pekerja Migran 	
210	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=4	Hargai Gugatan MAKI soal SP3 Kasus BLBI, KPK Berharap Ada Terobosan Hukum Baru	
211	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=5	AJI Tagih Janji Jokowi soal Akses bagi Jurnalis Asing ke Papua	
212	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=5	Dilaporkan ke Polisi, Karyawan Ini Ajukan Uji Materi UU ITE ke MK	
213	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=5	Wapres: Diperlukan Ketahanan Pangan yang Dimulai dari Keluarga 	
214	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=5	Menag Yaqut Ingatkan Pembagian Zakat Idul Fitri Tak Boleh Timbulkan Kerumunan	
215	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=5	Kemenkes Benarkan Varian Mutasi Ganda B.1.617 Masuk RI, Ada di Jakarta	
216	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=5	Pemerintah Diminta Tak Kendurkan PPKM Mikro Jelang Larangan Mudik Lebaran	
217	https://indeks.kompas.com/?site=nasional&date=2021-5-3&page=5	Menteri PPPA: Budaya Patriarki Masa Pandemi Covid-19 Berisiko Besar bagi Perempuan dan Anak	
